[INFO ] 2015-12-03 14:49:29,531 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175769531 || heartbeat: 24 || status: true
[INFO ] 2015-12-03 14:49:30,031 GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175770031 || heartbeat: 25 || status: true
[INFO ] 2015-12-03 14:49:30,531 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175770531 || heartbeat: 26 || status: true
[INFO ] 2015-12-03 14:49:31,031 GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175771031 || heartbeat: 27 || status: true
[INFO ] 2015-12-03 14:49:31,531 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175771531 || heartbeat: 28 || status: true
[INFO ] 2015-12-03 14:49:32,031 GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175772031 || heartbeat: 29 || status: true
[INFO ] 2015-12-03 14:49:32,531 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175772531 || heartbeat: 30 || status: true
[INFO ] 2015-12-03 14:49:33,031 GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175773031 || heartbeat: 31 || status: true
[INFO ] 2015-12-03 14:49:33,531 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175773531 || heartbeat: 32 || status: true
[INFO ] 2015-12-03 14:49:33,534 IntroducerRejoinThread.class pool-1-thread-3 Ping Introducer begins.
[INFO ] 2015-12-03 14:49:33,534 IntroducerRejoinThread.class pool-1-thread-3 Exiting from the method pingIntroducer.
[INFO ] 2015-12-03 14:49:34,031 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175774031 || heartbeat: 33 || status: true
[INFO ] 2015-12-03 14:49:34,531 GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175774531 || heartbeat: 34 || status: true
[INFO ] 2015-12-03 14:49:35,031 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175775031 || heartbeat: 35 || status: true
[INFO ] 2015-12-03 14:49:35,531 GossipSenderThread.class pool-1-thread-1 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175775531 || heartbeat: 36 || status: true
[INFO ] 2015-12-03 14:49:36,031 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175776031 || heartbeat: 37 || status: true
[INFO ] 2015-12-03 14:49:36,531 GossipSenderThread.class pool-1-thread-1 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175776531 || heartbeat: 38 || status: true
[INFO ] 2015-12-03 14:49:37,031 GossipSenderThread.class pool-1-thread-1 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175777031 || heartbeat: 39 || status: true
[INFO ] 2015-12-03 14:49:37,531 GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175777531 || heartbeat: 40 || status: true
[INFO ] 2015-12-03 14:49:38,031 GossipSenderThread.class pool-1-thread-1 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175778031 || heartbeat: 41 || status: true
[INFO ] 2015-12-03 14:49:38,531 GossipSenderThread.class pool-1-thread-3 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175778531 || heartbeat: 42 || status: true
[INFO ] 2015-12-03 14:49:38,534 IntroducerRejoinThread.class pool-1-thread-1 Ping Introducer begins.
[INFO ] 2015-12-03 14:49:38,534 IntroducerRejoinThread.class pool-1-thread-1 Exiting from the method pingIntroducer.
[INFO ] 2015-12-03 14:49:39,031 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175779031 || heartbeat: 43 || status: true
[INFO ] 2015-12-03 14:49:39,531 GossipSenderThread.class pool-1-thread-2 packet info: id 130.126.28.9:1449175758506 || time stamp: 1449175779531 || heartbeat: 44 || status: true
